Company,Vendor
IBM (https://w3.ibm.com/standards ),ibm
Carnegie Mellon,cmu
Unix,berkeley
ciscoSystems,cisco
Hewlett-Packard,hp
MIT,mit
Novell,novell
Interlan,europa
Enterasys Networks Inc.,enterasys
"Silicon Graphics, Inc.",sgi
University of British Columbia,ca
"Apple Computer, Inc.",apple
NASA,nasa
Boeing,boeing
AT&T,att
Fujitsu Services,fujitsu
Nokia,nokia
CERN,cern
"Emerging Technologies, Inc.",psi
EMC Data General Division,emc
"NetScout Systems, Inc. (formerly 'Network General Corporation')",netscout
Oracle,oracle
Control Data Corporation,umn
Mitre,mitre
Interactive Systems Corporation,isc
Bell Canada,utoronto
Rice University,rice
"NetScout Systems, Inc. (formerly 'Frontier Software Development')",netscout
Concord Communications,concord
Develcon,ca
Motorola,motorola
European Space Agency (ESA),esa
Rad Data Communications Ltd.,rad
Fujitsu America,fujitsu
NCR,ncr
Ericsson AB,ericsson
University of Waterloo,ca
"Allied Telesis, Inc.",alliedtelesis
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,ntt
Fujitsu Limited,fujitsu
Network Peripherals Inc.,fastnet
University of Wisconsin Madison,wisc
Unisys_Corp,unisys
Fujitsu Technology Solutions GmbH (formerly 'Fujitsu Siemens Computers'),fujitsu
"Samsung Electronics Co., LTD.",samsung
Lantronix,lantronix
Richard Hirschmann GmbH & Co.,uni-stuttgart
University of Michigan,umich
"Matsushita Electric Industrial Co., Ltd.",isl
ADC Codenoll Technology Corporation,att
Nexans Deutschland Industries,nexans
Systech Computer Corporation,systech
CSC Airline Solutions Denmark A/S,csc
Olivetti,olivetti
Diab Data AB,se
"Brocade Communications Systems, Inc. (formerly 'McData Corporation')",brocade
Harris Corporation,harris
Texas Instruments,ti
FUJIFILM Business Innovation Corp.,fujifilm
Stanford University,stanford
"Hughes Communications, Inc.",hughes
Microsoft,microsoft
Eastman Kodak Company,kodak
DOE Atmospheric Radiation Measurement Project,gov
NASA Ames Research Center,nasa
Simon Fraser University,sfu
Digi International,digi
NTT DATA,nttdata
Siemens Industry Inc.,siemens
ORNL,gov
Intel Corporation,intel
Compuware Corporation,compuware
Epson Research Center,epson
Seagate Technology,seagate
Kasten Chase Applied Research,ca
Morgan Stanley & Co. International PLC,morganstanley
RICOH Co. Ltd.,ricoh
Axis Communications AB,axis
3COM/Axon,3com
GSI,gsi
Megadata Pty Ltd.,mega
LLNL Livermore Computer Center,llnl
Ridgeback Solutions,psi
NRL Communication Systems Branch,nrl.navy
"Panasonic Corporation Eco Solutions Company (formerly 'Panasonic Electric Works Co., Ltd.')",panasonic
Lawrence Berkeley National Laboratory,gov
UTStarcom Incorporated,utstar
EICON,ca
BMC Software,bmc
Norwegian Telecom Research,nta
INDE Electronics,ca
Isode Limited,isode
J.I. Case,helios
Trillium,trillium
Bacchus Inc.,psi
Brookhaven Laboratory,gov
Meridian Technology Corporation,magic
ADP,adp
Ericsson AB - 4G5G (formerly 'Ellemtel Telecommunication Systems Laboratories'),ericsson
Dun & Bradstreet,dnb
Eaton Corporation,eaton
Superconducting Supercollider Lab.,gov
Crypto AG,ethz
Empire Technologies Inc.,gatech
"GarrettCom, Inc (formerly 'Garrett Communications')",garrettcom
ITT Corporation,itt
SECTRA AB,se
"Interlink Computer Sciences, Inc.",interlink
"Newport Systems Solutions, Inc.",cisco
ROBOTIKER,es
Georgia Institute of Technology,gatech
Nokia (formerly 'Alcatel-Lucent'),alcatel-lucent
Lexmark International,lexmark
Jigsaw Software Concepts (Pty) Ltd.,sun
Trio Information Systems AB,se
"Oki Electric Industry Co., Ltd.",oki
Dell Inc.,dell
University of Stellenbosch,sun
National Institute of Standards and Technology,nist
"Network Security Systems, Inc.",nic
Central Intelligence Agency,gov
Argonne National Lab,anl
Ingres Corporation,ingres
"Ericsson Denmark A/S, Telebit Division",ericsson
Internet Initiative Japan Inc.,iij
Queen's University Belfast,ee
Securities Industry Automation Corporation,poly
SYNaPTICS,synaptics
Telindus Distribution,telindus
Network Appliance Corporation,netapp
Video Lottery Technologies,cdc
Applications Management Corp,washington
US Patent and Trademark Office,gov
Saturn Systems,cmu
MiLAN Technology Corp.,milan
"Proxim Wireless, Inc",proxim
NetComm Limited,netcomm
Olivetti North America,olivetti
Thomson Financial,thomson
SunNetworks Consultant,sun
"Arkhon Technologies, Inc.",nic
Computer Sciences Corporation,csc
Nicecom Ltd.,nice
Institute for Information Industry,iii
Societe Internationale de Telecommunications Aeronautiques,es
"Sybase, Inc",sybase
Matrox Electronic Systems Limited,matrox
ABB Inc. (formerly 'Elsag Bailey Incorporated'),abb
Clear Communications Corp.,clear
Continuous Electron Beam Accelerator Facility,gov
Network Communication Corp.,netcomm
Telecommunication Systems Lab,kth
g.a.m.s. edv-dienstleistungen,ge
Accenture (formerly 'Andersen Consulting'),accenture
CyberPro International,digital
4th DIMENSION SOFTWARE Ltd.,zeus
