Domain,IP,AuthoritativeEngineBoots,AuthoritativeEngineTimes,EngineID,ScanTime
google.com,108.170.241.161,Error,Error,Error,Error
google.com,145.94.128.5,Error,Error,Error,Error
google.com,10.200.25.15,10,10220224,80000009030020cfae95c1a0,2024-03-12T14:21:19+01:00
google.com,10.200.246.4,18,62922620,8000000903004ce175172520,2024-03-12T14:21:19+01:00
google.com,74.125.51.223,Error,Error,Error,Error
google.com,142.251.36.14,Error,Error,Error,Error
google.com,10.200.246.121,Error,Error,Error,Error
google.com,145.145.26.97,Error,Error,Error,Error
google.com,74.125.51.222,Error,Error,Error,Error
google.com,172.253.71.201,Error,Error,Error,Error
youtube.com,10.200.25.15,10,10220236,80000009030020cfae95c1a0,2024-03-12T14:21:31+01:00
youtube.com,10.200.246.121,Error,Error,Error,Error
youtube.com,145.145.26.97,Error,Error,Error,Error
youtube.com,172.253.71.201,Error,Error,Error,Error
youtube.com,142.251.36.14,Error,Error,Error,Error
youtube.com,10.200.246.4,18,62922640,8000000903004ce175172520,2024-03-12T14:21:39+01:00
youtube.com,74.125.51.223,Error,Error,Error,Error
youtube.com,74.125.51.222,Error,Error,Error,Error
youtube.com,108.170.241.161,Error,Error,Error,Error
