Company,Vendor
IBM (https://w3.ibm.com/standards ),ibm
Carnegie Mellon,cmu
Unix,berkeley
PSI,psi
ciscoSystems,cisco
Hewlett-Packard,hp
MIT,mit
Novell,novell
NSFNET,umich
Hughes LAN Systems,hughes
Intergraph,intergraph
Interlan,europa
Santa Cruz Operation,sco
"MRV Communications, In-Reach Product Division",mrv
Cray,cray
Nortel Networks,nortel
Network Research Corp.,ncr
NMFECC-LLNL,llnl
Sun Microsystems,sun
3Com,3com
Enterasys Networks Inc.,enterasys
MIPS Computer Systems,mips
"TGV, Inc.",ti
"Silicon Graphics, Inc.",sgi
University of British Columbia,columbia
"Apple Computer, Inc.",apple
NASA,nasa
Boeing,boeing
AT&T,att
Digital Analysis Corporation,digital
Fujitsu Services,fujitsu
"Auspex Systems, Inc",asi
Lannet Company,company
InterCon Systems Corporation,isc
Nokia,nokia
CERN,cern
"Emerging Technologies, Inc.",psi
Micro Technology,mt
EMC Data General Division,emc
Bull Company,company
Emulex Corporation,emulex
"NetScout Systems, Inc. (formerly 'Network General Corporation')",netscout
Oracle,oracle
Control Data Corporation,cdc
Hughes Aircraft Company,hughes
Mitre,mitre
NEC Corporation,nec
FTP Software Inc.,fsi
Sony,sony
"Tektronix, Inc.",ti
Interactive Systems Corporation,isc
Sintrom Datanet Limited,sdl
Bell Canada,bell
Rice University,rice
"NetScout Systems, Inc. (formerly 'Frontier Software Development')",netscout
Digital Computer Limited,digital
Concord Communications,concord
University of Washington,washington
Develcon,ca
"Morningstar, Inc.",mi
"Legato Systems, Inc.",lsi
Motorola,motorola
European Space Agency (ESA),esa
Rad Data Communications Ltd.,rad
"D-Link Systems, Inc.",d-link
APTEC Computer Systems,acs
Toshiba Corporation,toshiba
Fujitsu America,fujitsu
NovaQuest InfoSystems,ni
NCR,ncr
Ericsson AB,ericsson
University of Waterloo,ca
SMC,smc
"Allied Telesis, Inc.",ati
Cray Communications A/S,cray
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,ntt
Fujitsu Limited,fujitsu
Network Peripherals Inc.,fastnet
"Netronix, Inc.",ni
University of Wisconsin Madison,wisc
"NetWorth, Inc.",ni
"Technically Elite Concepts, Inc.",elite
"ADI Systems, Inc.",asi
Pyramid Technology Corp.,ptc
Unisys_Corp,unisys
CODIMA Technologies Ltd,ctl
Fujitsu Technology Solutions GmbH (formerly 'Fujitsu Siemens Computers'),fujitsu
Compaq,compaq
"NetManage, Inc.",ni
"Samsung Electronics Co., LTD.",samsung
Lantronix,lantronix
Furukawa Electoric Co. Ltd.,furukawa
ND SatCom - Gesellschaft für SatellitenkommunikationssystemembH,nd
Richard Hirschmann GmbH & Co.,uni-stuttgart
University of Michigan,umich
Xerox,xerox
Compatible Systems Corp.,csc
"Matsushita Electric Industrial Co., Ltd.",isl
ADC Codenoll Technology Corporation,att
Nexans Deutschland Industries,nexans
Systech Computer Corporation,systech
CSC Airline Solutions Denmark A/S,csc
Telia Company AB,company
Olivetti,olivetti
Diab Data AB,se
Electronic Data Systems,electronic
"Brocade Communications Systems, Inc. (formerly 'McData Corporation')",brocade
Harris Corporation,harris
Texas Instruments,ti
PlainTree Systems Inc.,psi
FUJIFILM Business Innovation Corp.,fujifilm
Stanford University,stanford
Digital Link,digital
"Hughes Communications, Inc.",hughes
GE Information Services,ge
Gambit Computer Communications,gambit
Star Technologies,st
Microsoft,microsoft
Eastman Kodak Company,kodak
DOE Atmospheric Radiation Measurement Project,gov
VerSteeg CodeWorks,ncr
Verilink Corp,ncr
NASA Ames Research Center,nasa
Simon Fraser University,sfu
"Fore Systems, Inc.",fsi
"NeXT Computer, Inc.",next
"Netcore, Inc.",ni
Northwest Digital Systems,digital
Digi International,digi
NTT DATA,ntt
Siemens Industry Inc.,siemens
Kendall Square Research (KSR),square
ORNL,gov
Intel Corporation,intel
Compuware Corporation,compuware
Epson Research Center,epson
Seagate Technology,seagate
American Express Company,express
"Open Networks Engineering, Inc.",open
Kasten Chase Applied Research,ca
Morgan Stanley & Co. International PLC,morganstanley
"Cincinnati Bell Information Systems, Inc.",bell
"GM Labs, LLC.",gm
RICOH Co. Ltd.,ricoh
Axis Communications AB,axis
3COM/Axon,3com
"Alebra Technologies, Inc.",ati
GSI,gsi
"Tatung Co., Ltd.",tcl
Dassault Electronique,dassault
Megadata Pty Ltd.,mega
LLNL Livermore Computer Center,llnl
"Taligent, Inc.",ti
Ridgeback Solutions,psi
"Metrix, Inc.",mi
Symantec Corporation,symantec
NRL Communication Systems Branch,nrl.navy
"Panasonic Corporation Eco Solutions Company (formerly 'Panasonic Electric Works Co., Ltd.')",panasonic
Tyco Electronics,tyco
"Hitachi Computer Products (America), Inc.",hitachi
PRC Inc.,pi
Bell Atlantic,bell
Mitsubishi Electric Corporation,mitsubishi
"Klever Computers, Inc.Tom Su",klever
Lawrence Berkeley National Laboratory,berkeley
"Compex, Inc.",orion
